Game #,Start SR,End SR,SR Change,Team SR avg,Enemy SR avg,Team Stack,Enemy Stack,Role 1,Role 2,Result,Streak,Leaver?,Map,Match Time,Elim,Elim_career,Elim_medal,Obj_kills,Obj_kills_career,Obj_kills_medal,Obj_time,Obj_time_career,Obj_time_medal,Dmg,Dmg_career,Dmg_medal,Heal,Heal_career,Heal_medal,Death,Death_career
118,1968,1996,28,1982,2012,2,1,Support,,Win,2,No,Oasis,12:05,28,22.03,Bronze,19,13.1,Bronze,02:17,01:34,None,6096,5450,None,9919,7915,Gold,9,6.57
119,1996,2023,27,2004,2004,2,2,Support,,Win,3,No,Eichenwalde,12:12,26,22.02,Silver,12,13.06,Gold,02:11,01:34,Silver,6200,5446,None,10821,7928,Gold,7,6.56
120,2023,2003,-20,2004,2016,1,1,Support,,Loss,-1,No,Hollywood,05:39,4,21.94,None,3,13.02,None,00:29,01:34,Silver,3836,5455,Gold,6673,7952,Gold,3,6.55
121,2003,2030,27,2000,1992,1,1,Support,,Win,1,No,Ilios,12:58,21,15.86,None,16,10.02,None,03:53,01:48,Silver,5463,3525,None,9203,8201,Silver,9,7.98
122,2030,2054,24,2002,2012,2,2,Tank,,Win,2,No,Lijiang Tower,14:17,26,19.66,None,18,11.57,Silver,02:39,01:30,Bronze,7647,5253,None,0,6613,None,13,6.92
123,2054,2081,27,2051,2066,1,2,Support,,Win,3,No,Route 66,08:38,28,22.03,Gold,22,13.13,Gold,02:51,01:35,Gold,4361,5452,None,5802,7941,Gold,2,6.51
124,2081,2110,29,2060,2028,4,4,Support,,Win,4,No,Volskaya Industries,12:27,37,19.83,Silver,17,11.67,Gold,01:15,01:30,Gold,7258,5258,Bronze,10287,6629,Silver,7,6.88
125,2110,2137,27,2123,2122,1,1,Support,,Win,5,No,Hanamura,12:15,29,19.87,Silver,18,11.7,Gold,01:44,01:30,Silver,5387,5251,None,9846,6642,Silver,10,6.89
126,2137,2158,21,2127,2123,1,1,Tank,,Win,6,No,Blizzard World,13:47,20,14.94,None,14,9.91,Gold,02:44,01:39,Silver,5269,4926,None,0,,None,10,7.18
127,2158,2182,24,2183,2182,1,2,Support,,Win,7,No,Dorado,14:56,23,15.67,None,14,9.86,Silver,02:53,01:49,Silver,4563,3465,None,11923,8136,Gold,11,7.92
128,2182,2206,24,2182,2157,2,3,Support,,Win,8,No,Numbani,17:34,35,22.18,Silver,23,13.2,Gold,03:43,01:35,None,10120,5464,None,15891,7968,Silver,10,6.5
129,2206,2228,22,2188,P,1,1,Support,,Win,9,No,Temple of Anubis,11:52,8,19.68,None,5,11.63,None,01:34,01:31,None,1047,5189,None,9731,6639,Silver,8,6.89
130,2228,2210,-18,2240,2237,1,1,Support,,Loss,-1,No,King's Row,20:49,60,19.81,Gold,38,11.72,Gold,04:07,01:31,Silver,13474,5209,None,14654,6647,Gold,14,6.89
131,2210,2236,26,2187,2181,1,2,Support,,Win,1,No,Temple of Anubis,06:24,17,22.35,None,9,13.31,Gold,00:10,01:35,None,2997,5483,None,3941,7945,Gold,3,6.5
